"# Aswath Damodaran, NYU Stern. Data updated 2026-01-05. US companies."
# Extracted from damodaran-working-capital-2026-01.xls by reference/extract.py. Do not hand-edit.
industry,firms,ar_over_sales,inventory_over_sales,ap_over_sales,noncash_wc_over_sales,implied_dso_days,implied_dio_days,implied_dpo_days
Retail (Distributors),62,0.128282,0.166667,0.105136,0.174282,46.8,60.8,38.4
Retail (General),23,0.034992,0.086663,0.118919,-0.001093,12.8,31.6,43.4
Retail (Grocery and Food),15,0.017548,0.054892,0.059235,0.000610,6.4,20.0,21.6
Retail (REITs),26,0.216882,0.005363,0.164843,0.012444,79.2,2.0,60.2
Retail (Special Lines),94,0.016174,0.187562,0.105881,0.098029,5.9,68.5,38.6
Rubber& Tires,3,0.172412,0.215780,0.215332,0.129281,62.9,78.8,78.6
Semiconductor,66,0.158751,0.149544,0.069508,0.226180,57.9,54.6,25.4
Semiconductor Equip,31,0.187689,0.207364,0.071779,0.294936,68.5,75.7,26.2
Shipbuilding & Marine,8,0.113184,0.067070,0.071603,0.096277,41.3,24.5,26.1
Shoe,11,0.120975,0.164267,0.082333,0.165553,44.2,60.0,30.1
Software (Entertainment),77,0.131140,0.000008,0.033040,0.072480,47.9,0.0,12.1
Software (Internet),29,0.163125,0.000026,0.067769,0.147979,59.5,0.0,24.7
Software (System & Application),309,0.168406,0.004551,0.083612,0.100462,61.5,1.7,30.5
Steel,19,0.109850,0.179624,0.071822,0.216052,40.1,65.6,26.2
Telecom (Wireless),12,0.111727,0.025764,0.048737,0.120719,40.8,9.4,17.8
Telecom. Equipment,57,0.193167,0.101200,0.065885,0.222518,70.5,36.9,24.0
Telecom. Services,39,0.128346,0.020423,0.208695,-0.036880,46.8,7.5,76.2
Tobacco,10,0.088983,0.214699,0.074989,0.169118,32.5,78.4,27.4
Transportation,19,0.120404,0.002232,0.055026,0.069615,43.9,0.8,20.1
Transportation (Railroads),4,0.080518,0.029081,0.078697,0.015600,29.4,10.6,28.7
Trucking,26,0.124039,0.003550,0.049693,0.079940,45.3,1.3,18.1
Utility (General),14,0.133094,0.083637,0.095071,0.200490,48.6,30.5,34.7
Utility (Water),14,0.160092,0.028776,0.085703,0.125427,58.4,10.5,31.3
